size,price,Date,City,District
22,3000,2023-07-13,Warszawa,Wola
46,3950,2023-07-04,Warszawa,Wilanów
98,4000,2023-07-14,Warszawa,Ursynów
37,2200,2023-07-14,Warszawa,Praga-Południe
44,4600,2023-07-14,Warszawa,Wola
47,3000,2023-07-14,Warszawa,Białołęka
46,3300,2023-07-14,Warszawa,Ursynów
16,2400,2023-07-14,Warszawa,Praga-Południe
53,4700,2023-07-14,Warszawa,Mokotów
35,2595,2023-07-14,Warszawa,Mokotów
86,5920,2023-07-14,Warszawa,Śródmieście
86,3500,2023-07-14,Warszawa,Ursynów
50,2200,2023-07-13,Warszawa,Rembertów
32,2490,2023-07-12,Warszawa,Ursus
56,5200,2023-07-12,Warszawa,Żoliborz
30,2400,2023-07-14,Warszawa,Praga-Południe
42,2900,2023-07-14,Warszawa,Ursynów
27,3600,2023-07-14,Warszawa,Wola
46,2600,2023-07-14,Warszawa,Bemowo
64,5450,2023-07-14,Warszawa,Wilanów
35,2500,2023-07-14,Warszawa,Białołęka
55,5500,2023-07-14,Warszawa,Praga-Południe
44,2950,2023-07-14,Warszawa,Ursus
52,3200,2023-07-14,Warszawa,Praga-Południe
55,4300,2023-07-14,Warszawa,Mokotów
41,2950,2023-07-14,Warszawa,Ursynów
47,3800,2023-07-14,Warszawa,Wilanów
50,2800,2023-07-07,Warszawa,Bemowo
35,1900,2023-07-14,Warszawa,Białołęka
33,3200,2023-07-14,Warszawa,Śródmieście
25,2400,2023-07-14,Warszawa,Śródmieście
35,2550,2023-07-14,Warszawa,Praga-Południe
32,3500,2023-07-14,Warszawa,Mokotów
50,2700,2023-07-14,Warszawa,Praga-Północ
30,3000,2023-07-14,Warszawa,Wilanów
31,4150,2023-07-14,Warszawa,Wola
64,5450,2023-07-14,Warszawa,Wilanów
